product-id,base-url,date,clouds,month,year,raster,raster_cloud,match,raster_path,raster_cloud_path,clouds-on-roi,clouds-on-roi-minimal,raster_crs,count-on-roi-minimal-ndwi,count-on-roi-minimal-mndwi,ndwi_path,mask_ndwi_path,mndwi_path,mask_mndwi_path,threshold_value,area_km2,images
LT05_L1TP_231089_19861029_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19861029_20170216_01_T1,1986-10-29,3.0,10,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,121,13,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.1089,./products/image/LT05_L1TP_231089_19861029_20170216_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19861029_20170216_01_T1_idx-342.png
LT05_L1TP_231089_19861114_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19861114_20170216_01_T1,1986-11-14,26.0,11,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_CLOUDS_idx.TIF,73.72205370183126,59.556786703601105,EPSG:32719,75,2,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0675,./products/image/LT05_L1TP_231089_19861114_20170216_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19861114_20170216_01_T1_idx-342.png
LT05_L1TP_231089_19980216_20161225_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980216_20161225_01_T1,1998-02-16,31.0,2,1998,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_CLOUDS_idx.TIF,85.35557802494101,72.29916897506925,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0,./products/image/LT05_L1TP_231089_19980216_20161225_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19980216_20161225_01_T1_idx-342.png
LT05_L1TP_231089_19980320_20161225_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980320_20161225_01_T1,1998-03-20,15.0,3,1998,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,2,0,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0018,./products/image/LT05_L1TP_231089_19980320_20161225_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19980320_20161225_01_T1_idx-342.png
LT05_L1TP_231089_19980608_20161224_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980608_20161224_01_T1,1998-06-08,24.0,6,1998,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_CLOUDS_idx.TIF,0.7583417593528816,0.8310249307479225,EPSG:32719,405,175,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.3645,./products/image/LT05_L1TP_231089_19980608_20161224_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19980608_20161224_01_T1_idx-342.png
LT05_L1TP_231089_19980912_20161223_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980912_20161223_01_T1,1998-09-12,69.0,9,1998,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_CLOUDS_idx.TIF,94.55117402539041,99.03047091412742,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0,./products/image/LT05_L1TP_231089_19980912_20161223_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19980912_20161223_01_T1_idx-342.png
LT05_L1TP_231089_19980928_20161221_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980928_20161221_01_T1,1998-09-28,46.0,9,1998,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_CLOUDS_idx.TIF,8.1226828446242,0.0,EPSG:32719,7,0,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0063,./products/image/LT05_L1TP_231089_19980928_20161221_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19980928_20161221_01_T1_idx-342.png
LT05_L1TP_231089_19981014_20161221_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19981014_20161221_01_T1,1998-10-14,10.0,10,1998,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0,./products/image/LT05_L1TP_231089_19981014_20161221_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19981014_20161221_01_T1_idx-342.png
LT05_L1TP_231089_19981217_20161220_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19981217_20161220_01_T1,1998-12-17,0.0,12,1998,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0,./products/image/LT05_L1TP_231089_19981217_20161220_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19981217_20161220_01_T1_idx-342.png
LT05_L1TP_231089_19990118_20161219_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990118_20161219_01_T1,1999-01-18,3.0,1,1999,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0,./products/image/LT05_L1TP_231089_19990118_20161219_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19990118_20161219_01_T1_idx-342.png
