product-id,base-url,date,clouds
LC08_L1TP_231089_20150522_20170408_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150522_20170408_01_T1,2015-05-22,18.97
LC08_L1TP_231089_20150607_20170408_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150607_20170408_01_T1,2015-06-07,19.45
LC08_L1TP_231089_20150623_20170407_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150623_20170407_01_T1,2015-06-23,35.9
LC08_L1TP_231089_20150709_20170407_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150709_20170407_01_T1,2015-07-09,29.07
LC08_L1TP_231089_20150810_20170406_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150810_20170406_01_T1,2015-08-10,9.24
LC08_L1TP_231089_20150826_20170405_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150826_20170405_01_T1,2015-08-26,57.84
LC08_L1TP_231089_20150911_20170404_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150911_20170404_01_T1,2015-09-11,21.75
LC08_L1TP_231089_20150927_20170403_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20150927_20170403_01_T1,2015-09-27,77.76
LC08_L1TP_231089_20151013_20170403_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20151013_20170403_01_T1,2015-10-13,63.22
LC08_L1TP_231089_20151029_20170402_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20151029_20170402_01_T1,2015-10-29,47.96
LC08_L1TP_231089_20151114_20170402_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20151114_20170402_01_T1,2015-11-14,66.05
LC08_L1TP_231089_20151130_20170401_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20151130_20170401_01_T1,2015-11-30,11.51
LC08_L1TP_231089_20151216_20170331_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20151216_20170331_01_T1,2015-12-16,73.29
LC08_L1TP_231089_20160101_20170404_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160101_20170404_01_T1,2016-01-01,47.56
LC08_L1TP_231089_20160117_20170405_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160117_20170405_01_T1,2016-01-17,7.81
LC08_L1TP_231089_20160202_20170330_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160202_20170330_01_T1,2016-02-02,0.83
LC08_L1TP_231089_20160218_20170329_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160218_20170329_01_T1,2016-02-18,61.25
LC08_L1TP_231089_20160305_20170328_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160305_20170328_01_T1,2016-03-05,0.07
LC08_L1TP_231089_20160321_20170327_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160321_20170327_01_T1,2016-03-21,49.1
LC08_L1TP_231089_20160609_20170324_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160609_20170324_01_T1,2016-06-09,53.01
LC08_L1TP_231089_20160625_20170323_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160625_20170323_01_T1,2016-06-25,0.8
LC08_L1TP_231089_20160711_20170323_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160711_20170323_01_T1,2016-07-11,67.19
LC08_L1TP_231089_20160828_20170321_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160828_20170321_01_T1,2016-08-28,15.54
LC08_L1TP_231089_20160913_20170321_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160913_20170321_01_T1,2016-09-13,28.53
LC08_L1TP_231089_20160929_20170321_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20160929_20170321_01_T1,2016-09-29,66.55
LC08_L1TP_231089_20161031_20170318_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20161031_20170318_01_T1,2016-10-31,74.16
LC08_L1TP_231089_20161116_20170318_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20161116_20170318_01_T1,2016-11-16,22.23
LC08_L1TP_231089_20161202_20170317_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20161202_20170317_01_T1,2016-12-02,5.15
LC08_L1TP_231089_20161218_20170315_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20161218_20170315_01_T1,2016-12-18,32.81
LC08_L1TP_231089_20170103_20170312_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170103_20170312_01_T1,2017-01-03,27.84
LC08_L1TP_231089_20170119_20170311_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170119_20170311_01_T1,2017-01-19,34.14
LC08_L1TP_231089_20170220_20170301_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170220_20170301_01_T1,2017-02-20,7.96
LC08_L1TP_231089_20170308_20170317_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170308_20170317_01_T1,2017-03-08,50.15
LC08_L1TP_231089_20170324_20170329_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170324_20170329_01_T1,2017-03-24,13.26
LC08_L1TP_231089_20170409_20170414_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170409_20170414_01_T1,2017-04-09,11.16
LC08_L1TP_231089_20170425_20170502_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170425_20170502_01_T1,2017-04-25,16.35
LC08_L1TP_231089_20170511_20170525_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170511_20170525_01_T1,2017-05-11,63.2
LC08_L1TP_231089_20170527_20170615_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170527_20170615_01_T1,2017-05-27,2.15
LC08_L1TP_231089_20170612_20170628_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170612_20170628_01_T1,2017-06-12,11.61
LC08_L1TP_231089_20170628_20170714_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20170628_20170714_01_T1,2017-06-28,2.42
LC08_L1TP_231089_20201111_20210316_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20201111_20210316_01_T1,2020-11-11,30.72
LC08_L1TP_231089_20201127_20210316_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20201127_20210316_01_T1,2020-11-27,49.0
LC08_L1TP_231089_20201213_20210314_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20201213_20210314_01_T1,2020-12-13,78.82
LC08_L1TP_231089_20201229_20210311_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20201229_20210311_01_T1,2020-12-29,53.73
LC08_L1TP_231089_20210114_20210308_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210114_20210308_01_T1,2021-01-14,18.98
LC08_L1TP_231089_20210130_20210306_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210130_20210306_01_T1,2021-01-30,0.31
LC08_L1TP_231089_20210215_20210304_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210215_20210304_01_T1,2021-02-15,0.05
LC08_L1TP_231089_20210303_20210312_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210303_20210312_01_T1,2021-03-03,40.89
LC08_L1TP_231089_20210319_20210328_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210319_20210328_01_T1,2021-03-19,1.1
LC08_L1TP_231089_20210404_20210409_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210404_20210409_01_T1,2021-04-04,6.65
LC08_L1TP_231089_20210420_20210430_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210420_20210430_01_T1,2021-04-20,71.09
LC08_L1TP_231089_20210506_20210517_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20210506_20210517_01_T1,2021-05-06,0.27
