product-id,base-url,date,clouds
LT05_L1TP_231089_19850127_20170219_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19850127_20170219_01_T1,1985-01-27,1.0
LT05_L1TP_231089_19860114_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860114_20170218_01_T1,1986-01-14,21.0
LT05_L1TP_231089_19860130_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860130_20170218_01_T1,1986-01-30,68.0
LT05_L1TP_231089_19860303_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860303_20170218_01_T1,1986-03-03,67.0
LT05_L1TP_231089_19860319_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860319_20170218_01_T1,1986-03-19,4.0
LT05_L1TP_231089_19860725_20170217_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860725_20170217_01_T1,1986-07-25,44.0
LT05_L1TP_231089_19860810_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860810_20170216_01_T1,1986-08-10,32.0
LT05_L1TP_231089_19860911_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860911_20170216_01_T1,1986-09-11,8.0
LT05_L1TP_231089_19860927_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860927_20170216_01_T1,1986-09-27,1.0
LT05_L1TP_231089_19861013_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19861013_20170216_01_T1,1986-10-13,60.0
LT05_L1TP_231089_19861029_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19861029_20170216_01_T1,1986-10-29,3.0
LT05_L1TP_231089_19861114_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19861114_20170216_01_T1,1986-11-14,26.0
LT05_L1TP_231089_19980216_20161225_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980216_20161225_01_T1,1998-02-16,31.0
LT05_L1TP_231089_19980320_20161225_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980320_20161225_01_T1,1998-03-20,15.0
LT05_L1TP_231089_19980608_20161224_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980608_20161224_01_T1,1998-06-08,24.0
LT05_L1TP_231089_19980912_20161223_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980912_20161223_01_T1,1998-09-12,69.0
LT05_L1TP_231089_19980928_20161221_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19980928_20161221_01_T1,1998-09-28,46.0
LT05_L1TP_231089_19981014_20161221_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19981014_20161221_01_T1,1998-10-14,10.0
LT05_L1TP_231089_19981217_20161220_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19981217_20161220_01_T1,1998-12-17,0.0
LT05_L1TP_231089_19990118_20161219_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990118_20161219_01_T1,1999-01-18,3.0
LT05_L1TP_231089_19990307_20161219_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990307_20161219_01_T1,1999-03-07,79.0
LT05_L1TP_231089_19990323_20161218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990323_20161218_01_T1,1999-03-23,63.0
LT05_L1TP_231089_19990408_20161218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990408_20161218_01_T1,1999-04-08,0.0
LT05_L1TP_231089_19990713_20161217_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990713_20161217_01_T1,1999-07-13,3.0
LT05_L1TP_231089_19990729_20161217_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990729_20161217_01_T1,1999-07-29,21.0
LT05_L1TP_231089_19990814_20161216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990814_20161216_01_T1,1999-08-14,2.0
LT05_L1TP_231089_19990915_20161218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19990915_20161218_01_T1,1999-09-15,73.0
LT05_L1TP_231089_19991118_20161216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19991118_20161216_01_T1,1999-11-18,36.0
LT05_L1TP_231089_19991220_20161215_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19991220_20161215_01_T1,1999-12-20,0.0
LT05_L1TP_231089_20010107_20161212_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_20010107_20161212_01_T1,2001-01-07,37.0
